,Player Name,Stat,Hit Percentage,Bet Filter
0,John Collins,Total Rebounds,100.0,2.5
1,Rudy Gobert,Total Rebounds,100.0,2.5
2,Nikola Vucevic,Total Rebounds,100.0,2.5
3,Deandre Ayton,Total Rebounds,100.0,2.5
4,Walker Kessler,Total Rebounds,100.0,2.5
5,Zion Williamson,Total Rebounds,100.0,2.5
6,Nick Richards,Total Rebounds,96.7741935483871,2.5
7,Anthony Edwards,Total Rebounds,96.07843137254902,2.5
8,Deni Avdija,Total Rebounds,95.91836734693877,2.5
9,Anthony Davis,Total Rebounds,95.23809523809523,2.5
10,Josh Giddey,Total Rebounds,93.75,2.5
11,Royce O'Neale,Total Rebounds,88.63636363636364,2.5
12,Trey Murphy III,Total Rebounds,88.57142857142857,2.5
13,Mason Plumlee,Total Rebounds,87.75510204081633,2.5
14,Lauri Markkanen,Total Rebounds,86.48648648648648,2.5
15,Draymond Green,Total Rebounds,83.78378378378379,2.5
16,Devin Booker,Total Rebounds,80.0,2.5
17,Jimmy Butler,Total Rebounds,80.0,2.5
18,Stephen Curry,Total Rebounds,78.57142857142857,2.5
19,Keyonte George,Total Rebounds,71.7948717948718,2.5
20,Jerami Grant,Total Rebounds,65.0,2.5
21,Ryan Dunn,Total Rebounds,62.22222222222222,2.5
22,Grayson Allen,Total Rebounds,60.97560975609756,2.5
23,Coby White,Total Rebounds,53.333333333333336,2.5
24,Anfernee Simons,Total Rebounds,52.083333333333336,2.5
25,Isaiah Collier,Total Rebounds,48.78048780487805,2.5
26,Walker Kessler,Total Rebounds,100.0,3.5
27,Nikola Vucevic,Total Rebounds,100.0,3.5
28,Rudy Gobert,Total Rebounds,98.07692307692307,3.5
29,Deandre Ayton,Total Rebounds,97.36842105263158,3.5
30,Anthony Davis,Total Rebounds,95.23809523809523,3.5
31,John Collins,Total Rebounds,93.75,3.5
32,Nick Richards,Total Rebounds,93.54838709677419,3.5
33,Zion Williamson,Total Rebounds,93.33333333333333,3.5
34,Deni Avdija,Total Rebounds,91.83673469387756,3.5
35,Anthony Edwards,Total Rebounds,90.19607843137256,3.5
36,Josh Giddey,Total Rebounds,87.5,3.5
37,Lauri Markkanen,Total Rebounds,83.78378378378379,3.5
38,Royce O'Neale,Total Rebounds,81.81818181818183,3.5
39,Mason Plumlee,Total Rebounds,79.59183673469387,3.5
40,Draymond Green,Total Rebounds,78.37837837837837,3.5
41,Trey Murphy III,Total Rebounds,77.14285714285715,3.5
42,Jimmy Butler,Total Rebounds,68.0,3.5
43,Stephen Curry,Total Rebounds,59.523809523809526,3.5
44,Keyonte George,Total Rebounds,56.41025641025641,3.5
45,Devin Booker,Total Rebounds,53.333333333333336,3.5
46,Ryan Dunn,Total Rebounds,51.11111111111111,3.5
47,Grayson Allen,Total Rebounds,43.90243902439025,3.5
48,Jerami Grant,Total Rebounds,42.5,3.5
